,coef_name,coef,se,model,effect
0,const,2.777182219836759,0.005001989063709771,extra_evidentiary,scenario
1,126,-0.011675612514532079,0.0055566258832243235,extra_evidentiary,scenario
2,139,-0.012999292977412456,0.0059238183484848035,extra_evidentiary,scenario
3,180,0.009211602801033674,0.00646631504472778,extra_evidentiary,scenario
4,112,-0.023241498456835322,0.005255398418425531,extra_evidentiary,scenario
5,135,0.0017323533852584075,0.0060961548787307526,extra_evidentiary,scenario
6,145,0.08322893229289331,0.0073448593372611075,extra_evidentiary,scenario
7,154,-0.003373152672034696,0.00696403584864683,extra_evidentiary,scenario
0,const,2.777182219836759,0.004898435602507137,evidentiary,scenario
1,002,5.861088450249616e-05,0.006218570605703882,evidentiary,scenario
2,010,-0.04509073344055474,0.005675489976715748,evidentiary,scenario
3,086,-0.03361616676809937,0.005851953012534405,evidentiary,scenario
4,128,-0.004678251004598583,0.005768962066955006,evidentiary,scenario
5,186,-0.0072421563031259215,0.006210718306167434,evidentiary,scenario
6,197,0.019455164676163164,0.006329725172247575,evidentiary,scenario
7,028,0.00025402312355278164,0.006380070549561452,evidentiary,scenario
8,030,-0.00457802303534534,0.0061579791308173735,evidentiary,scenario
9,100,0.09444878446891974,0.0059702204094761084,evidentiary,scenario
10,111,-0.006474362721896287,0.005711251063800116,evidentiary,scenario
11,009,0.007709181580691989,0.007435646690071956,evidentiary,scenario
12,093,-0.02441523407378706,0.008366538757947337,evidentiary,scenario
13,095,0.007006295445094166,0.007290077979853639,evidentiary,scenario
14,162,-0.03292008055761879,0.007099242324430685,evidentiary,scenario
15,020,-0.02736413620520023,0.005419922615766303,evidentiary,scenario
16,179,-0.000851313916451062,0.005421308872413691,evidentiary,scenario
0,const,2.777182219836759,0.004953480494544334,narrative,scenario
1,028,-0.0007929515720785339,0.006310422671847093,narrative,scenario
2,030,-0.00509756447794538,0.006056881677335986,narrative,scenario
3,100,0.09341182632690953,0.005771806739520168,narrative,scenario
4,111,-0.014711567753969227,0.005507769553515561,narrative,scenario
5,009,0.0168141545312833,0.0074306010696124835,narrative,scenario
6,093,-0.010878185927091426,0.008083639680173397,narrative,scenario
7,095,0.007843276257833633,0.007155231606532757,narrative,scenario
8,162,-0.04126303818664715,0.007044256785435303,narrative,scenario
9,020,-0.02708499522954912,0.00527362762029827,narrative,scenario
10,179,0.0050868629562962776,0.005153809453760551,narrative,scenario
0,const,2.777182219836759,0.0050453825963436795,utility,scenario
1,002,0.005009957269616967,0.0058118881904279645,utility,scenario
2,010,-0.04418243940476922,0.005319241557990097,utility,scenario
